slice,qid,formula,ha,difficulty,n_obs_c13,status,n_unique_ik14,recall,top1,gnn_top3,ranked,n_smiles_scanned,recall_scan
locked_194,R29,C10H18O2,12,simple,10,complete_unranked,,1,,,0,778939,hit
locked_194,R41,C6H13NO2,9,simple,6,complete,23708,1,1,1,1,,
locked_194,R44,C7H10O4,11,simple,7,complete_unranked,,1,,,0,644430,hit
locked_194,R52,C6H8O5,11,simple,6,complete_unranked,,1,,,0,544823,hit
locked_194,R56,C7H18Sn,8,simple,4,unsupported,,0,0,0,0,,
locked_194,R60,C9H16O,10,simple,9,complete,29172,1,0,0,1,,
locked_194,R69,C5H9N3S,9,simple,5,complete_unranked,,1,,,0,193123,hit
locked_194,R77,C7H9NO2,10,simple,6,timeout,,0,0,0,0,,
locked_194,R94,C10H12N2,12,simple,8,timeout,,0,0,0,0,,
locked_194,v3:R16,C9H10N2,11,simple,7,timeout,,0,0,0,0,,
locked_194,v2ctrl:R08,C8H7NOS,11,simple,8,timeout,,0,0,0,0,,
locked_194,v2ctrl:R15,C9H9BrO,11,simple,9,timeout,,0,0,0,0,,
plus_106,R07,C8H5NO2,11,simple,8,timeout,,0,0,0,0,,
plus_106,R19,C8H5IN2O,12,simple,6,timeout,,0,0,0,0,,
plus_106,R64,C8H12O2,10,simple,8,complete_unranked,,1,,,0,186021,hit
plus_106,R90,C7H11NO2,10,simple,7,complete_unranked,,1,,,0,1318318,hit
plus_106,R98,C9H10O3,12,simple,9,timeout,,0,0,0,0,,
thinking_200,R19,C8H10N2O2,12,simple,7,timeout,,0,0,0,0,,
thinking_200,R28,C8H7N3O,12,simple,6,timeout,,0,0,0,0,,
thinking_200,R47,C8H16N2,10,complex,3,complete_unranked,,1,,,0,94262,hit
thinking_200,R58,C8H14O3,11,simple,8,complete_unranked,,1,,,0,438595,hit
thinking_200,R109,C7H13N3,10,simple,5,complete_unranked,,1,,,0,753375,hit
thinking_200,R110,C6H8O2,8,simple,6,complete,10872,1,1,1,1,,
thinking_200,R113,C8H10N2O2,12,simple,8,timeout,,0,0,0,0,,
thinking_200,R126,C7H4I2O3,12,simple,7,timeout,,0,0,0,0,,
thinking_200,R137,C9H9FO2,12,simple,6,timeout,,0,0,0,0,,
thinking_200,R143,C9H8O,10,simple,6,complete_unranked,,1,,,0,282398,hit
thinking_200,R166,C9H14OSi,11,simple,7,unsupported,,0,0,0,0,,
thinking_200,R187,C8H17BrO,10,simple,8,complete,1157,1,1,1,1,,
thinking_200,R190,C11H24O,12,simple,9,complete,2426,1,1,1,1,,
thinking_200,R230,C7H4BrIN2O,12,complex,7,timeout,,0,0,0,0,,
