slice,qid,difficulty,top1,recall
locked_194,R01,complex,0,0
locked_194,R02,complex,0,0
locked_194,R04,simple,1,1
locked_194,R05,complex,1,1
locked_194,R06,complex,0,0
locked_194,R07,complex,0,0
locked_194,R08,complex,0,0
locked_194,R09,complex,0,0
locked_194,R10,simple,1,1
locked_194,R11,simple,0,1
locked_194,R12,simple,0,0
locked_194,R13,complex,0,0
locked_194,R15,complex,0,0
locked_194,R16,complex,0,0
locked_194,R17,complex,0,0
locked_194,R18,simple,0,0
locked_194,R19,simple,1,1
locked_194,R20,complex,0,0
locked_194,R21,complex,0,0
locked_194,R22,simple,0,0
locked_194,R23,simple,1,1
locked_194,R24,simple,1,1
locked_194,R25,complex,0,0
locked_194,R26,simple,0,0
locked_194,R27,complex,0,0
locked_194,R28,complex,0,0
locked_194,R29,simple,0,0
locked_194,R30,complex,0,0
locked_194,R31,complex,0,0
locked_194,R32,simple,0,0
locked_194,R33,complex,0,0
locked_194,R34,simple,0,0
locked_194,R35,complex,0,0
locked_194,R36,simple,0,0
locked_194,R37,simple,0,0
locked_194,R38,simple,1,1
locked_194,R39,complex,0,0
locked_194,R40,simple,0,0
locked_194,R41,simple,0,0
locked_194,R42,simple,0,0
locked_194,R43,simple,0,0
locked_194,R44,simple,0,0
locked_194,R45,complex,0,1
locked_194,R46,simple,0,0
locked_194,R47,complex,0,0
locked_194,R48,complex,0,0
locked_194,R49,complex,0,0
locked_194,R50,simple,0,0
locked_194,R51,simple,1,1
locked_194,R52,simple,1,1
locked_194,R53,complex,0,0
locked_194,R54,complex,0,0
locked_194,R55,simple,1,1
locked_194,R56,simple,1,1
locked_194,R57,complex,0,0
locked_194,R58,simple,1,1
locked_194,R59,complex,0,0
locked_194,R60,simple,1,1
locked_194,R61,complex,0,0
locked_194,R62,simple,0,0
locked_194,R63,simple,0,0
locked_194,R64,simple,0,0
locked_194,R66,simple,1,1
locked_194,R68,complex,0,0
locked_194,R69,simple,1,1
locked_194,R70,simple,1,1
locked_194,R71,complex,0,0
locked_194,R72,complex,0,0
locked_194,R73,simple,0,0
locked_194,R74,complex,1,1
locked_194,R75,complex,0,0
locked_194,R76,simple,0,0
locked_194,R77,simple,1,1
locked_194,R78,simple,1,1
locked_194,R79,simple,0,0
locked_194,R80,complex,0,0
locked_194,R81,complex,0,0
locked_194,R83,complex,0,0
locked_194,R84,simple,1,1
locked_194,R85,complex,0,0
locked_194,R86,complex,0,0
locked_194,R87,simple,1,1
locked_194,R88,simple,0,0
locked_194,R89,complex,0,0
locked_194,R90,complex,0,0
locked_194,R91,complex,1,1
locked_194,R92,simple,1,1
locked_194,R93,simple,1,1
locked_194,R94,simple,1,1
locked_194,R95,simple,0,0
locked_194,R96,complex,0,0
locked_194,R97,complex,1,1
locked_194,R98,simple,1,1
locked_194,R99,simple,0,1
locked_194,R100,simple,1,1
locked_194,R101,simple,1,1
locked_194,R102,simple,1,1
locked_194,R103,complex,0,0
locked_194,R104,complex,0,0
locked_194,R105,complex,0,0
locked_194,R106,simple,1,1
locked_194,R107,simple,0,0
locked_194,R108,simple,0,1
locked_194,R109,complex,0,0
locked_194,R110,simple,1,1
locked_194,R111,simple,0,0
locked_194,R112,complex,0,0
locked_194,R113,simple,0,0
